Time(s),BloodDensity(kg/m^3),BloodPH,BloodSpecificHeat(J/K_kg),BloodUreaNitrogenConcentration(mg/dL),CarbonDioxideSaturation,CarbonMonoxideSaturation,Hematocrit,HemoglobinContent(g),OxygenSaturation,PlasmaVolume(mL),Phosphate(mmol/L),PulseOximetry,RedBloodCellCount(ct/uL),ShuntFraction,StrongIonDifference(mmol/L),TotalProteinConcentration(g/dL),VolumeFractionNeutralLipidInPlasma,VolumeFractionNeutralPhospholipidInPlasma,WhiteBloodCellCount(ct/uL),ArterialCarbonDioxidePressure(mmHg),ArterialOxygenPressure(mmHg),PulmonaryArterialCarbonDioxidePressure(mmHg),PulmonaryArterialOxygenPressure(mmHg),PulmonaryVenousCarbonDioxidePressure(mmHg),PulmonaryVenousOxygenPressure(mmHg),VenousCarbonDioxidePressure(mmHg),VenousOxygenPressure(mmHg),Albumin-BloodConcentration(g/dL),Bicarbonate-BloodConcentration(g/dL),Calcium-BloodConcentration(mg/L),Chloride-BloodConcentration(g/L),Creatinine-BloodConcentration(mg/L),Epinephrine-BloodConcentration(ug/L),Globulin-BloodConcentration(g/dL),Glucagon-BloodConcentration(mg/dL),Glucose-BloodConcentration(mg/dL),Hemoglobin-BloodConcentration(g/dL),Insulin-BloodConcentration(ug/L),Ketones-BloodConcentration(mg/L),Lactate-BloodConcentration(mg/L),Potassium-BloodConcentration(mg/L),Sodium-BloodConcentration(g/dL),Triacylglycerol-BloodConcentration(mg/dL),Urea-BloodConcentration(mg/dL)
0.02,1050,7.41,3617,12.3,0.03,0,0.475,847.4,0.98,2909,1.1,0.98,5275614,0.024,40.5,7,0.00230,0.00130,7000,40,99,44,44,40,99,44,44,4.5,0.159,48.17,3.6170,11.1,0.0322,2.7,0.000,87.4,15.30,0.694,11.081,131.865,176.96,0.334,74,26.40
0.04,1050,7.41,3617,12.3,0.03,0,0.475,847.4,0.98,2909,1.1,0.98,5275550,0.024,40.5,7,0.00230,0.00130,7000,40,99,44,44,40,99,44,44,4.5,0.159,48.17,3.6170,11.1,0.0322,2.7,0.000,87.4,15.30,0.694,11.081,131.865,176.96,0.334,74,26.40
0.06,1050,7.41,3617,12.3,0.03,0,0.475,847.4,0.98,2909,1.1,0.98,5275479,0.024,40.5,7,0.00230,0.00130,7000,40,99,44,44,40,99,44,44,4.5,0.159,48.17,3.6170,11.1,0.0322,2.7,0.000,87.4,15.30,0.694,11.082,131.865,176.96,0.334,74,26.40
0.08,1050,7.41,3617,12.3,0.03,0,0.475,847.4,0.98,2909,1.1,0.98,5275402,0.024,40.5,7,0.00230,0.00130,7000,40,99,44,44,40,99,44,44,4.5,0.159,48.17,3.6170,11.1,0.0322,2.7,0.000,87.4,15.30,0.694,11.082,131.865,176.96,0.334,74,26.40
0.10,1050,7.41,3617,12.3,0.03,0,0.475,847.4,0.98,2909,1.1,0.98,5275318,0.024,40.5,7,0.00230,0.00130,7000,40,99,44,44,40,99,44,44,4.5,0.159,48.17,3.6170,11.1,0.0322,2.7,0.000,87.4,15.30,0.694,11.082,131.865,176.96,0.334,74,26.40
0.12,1050,7.41,3617,12.3,0.03,0,0.475,847.4,0.98,2909,1.1,0.98,5275238,0.024,40.5,7,0.00230,0.00130,7000,40,99,44,44,40,99,44,44,4.5,0.159,48.17,3.6170,11.1,0.0322,2.7,0.000,87.4,15.30,0.694,11.082,131.865,176.96,0.334,74,26.40
0.14,1050,7.41,3617,12.3,0.03,0,0.475,847.4,0.98,2909,1.1,0.98,5275169,0.024,40.5,7,0.00230,0.00130,7000,40,99,44,44,40,99,44,44,4.5,0.159,48.17,3.6170,11.1,0.0322,2.7,0.000,87.4,15.30,0.694,11.082,131.864,176.96,0.334,74,26.40
0.16,1050,7.41,3617,12.3,0.03,0,0.475,847.4,0.98,2909,1.1,0.98,5275115,0.024,40.5,7,0.00230,0.00130,7000,40,99,44,44,40,99,44,44,4.5,0.159,48.17,3.6170,11.1,0.0322,2.7,0.000,87.4,15.30,0.694,11.082,131.864,176.96,0.334,74,26.40
0.18,1050,7.41,3617,12.3,0.03,0,0.475,847.4,0.98,2909,1.1,0.98,5275079,0.024,40.5,7,0.00230,0.00130,7000,40,99,44,44,40,99,44,44,4.5,0.159,48.17,3.6170,11.1,0.0322,2.7,0.000,87.4,15.30,0.694,11.082,131.864,176.96,0.334,74,26.40
0.20,1050,7.41,3617,12.3,0.03,0,0.475,847.4,0.98,2909,1.1,0.98,5275059,0.024,40.5,7,0.00230,0.00130,7000,40,99,44,44,40,99,44,44,4.5,0.159,48.17,3.6170,11.1,0.0322,2.7,0.000,87.4,15.30,0.694,11.083,131.864,176.96,0.334,74,26.40
