Output,Units,Algorithm,Reference Values,References,Reference Page,Notes,Table,ResultsFile,SignificantDigits
ArterialPressure*,,,,,,"Not validating the waveform itself. 
Waveform Mean is being validated.",Cardiovascular,,
BloodVolume,mL,Mean,5674,guyton2006medical,p293,,Cardiovascular,,0f
CardiacIndex,L/min m^2,Mean,3,guyton2006medical,p232,,Cardiovascular,,1f
CardiacOutput,mL/min,Mean,5600,guyton2006medical,p232,,Cardiovascular,,0f
CentralVenousPressure*,mmHg,Mean,"[2,6]",Leeuwen2015laboratory,p93,"Not validating the waveform itself. 
Waveform Mean is being validated.",Cardiovascular,,
CerebralBloodFlow,mL/min,Mean,"[725,942.5]",guyton2006medical,p787,"50-65 mL per 100g per min, assuming an average 1450g/male and 1300g/female brain mass",Cardiovascular,,0f
CerebralPerfusionPressure,mmHg,Mean,"[60,98]",[MAP-ICP],,,Cardiovascular,,1f
DiastolicArterialPressure,mmHg,Mean,"[60,90]",Leeuwen2015laboratory,p93,,Cardiovascular,,1f
HeartEjectionFraction,,Mean,0.55,guyton2006medical,,,Cardiovascular,,2f
HeartRate,1/min,Mean,72,guyton2006medical,p147,,Cardiovascular,,0f
HeartRhythm*,,,,,,Not validating enums,Cardiovascular,,
HeartStrokeVolume,mL,Mean,"[55.3,93.1]",brandfonbrener1955changes,,,Cardiovascular,,1f
IntracranialPressure,mmHg,Mean,"[7,15]",steiner2006monitoring,,Assumes supine adult,Cardiovascular,,1f
MeanArterialPressure,mmHg,Mean,"[70,105]",Leeuwen2015laboratory,p93,,Cardiovascular,,1f
MeanArterialCarbonDioxidePartialPressure*,,,,,,Exposed for use by other systems,Cardiovascular,,
MeanArterialCarbonDioxidePartialPressureDelta*,,,,,,Exposed for use by other systems,Cardiovascular,,
MeanCentralVenousPressure,mmHg,Mean,"[2,6]",Leeuwen2015laboratory,p93,,Cardiovascular,,1f
MeanSkinFlow,mL/s,Mean,6.3,valentin2002icrp,,,Cardiovascular,,1f
PulmonaryArterialPressure*,,,,,,"Not validating the waveform itself. 
Waveform Mean is being validated.",Cardiovascular,,
PulmonaryCapillariesWedgePressure,mmHg,Mean,"[4,12]",Leeuwen2015laboratory,p93,,Cardiovascular,,1f
PulmonaryDiastolicArterialPressure,mmHg,Mean,"[4,12],
[8,15]","Leeuwen2015laboratory,
Edwards2009pocket","p93
",,Cardiovascular,,1f
PulmonaryMeanArterialPressure,mmHg,Mean,"[9,18]",Edwards2009pocket,,,Cardiovascular,,1f
PulmonaryMeanCapillaryFlow*,,,,,,,Cardiovascular,,
PulmonaryMeanShuntFlow*,,,,,,,Cardiovascular,,
PulmonarySystolicArterialPressure,mmHg,Mean,"[15,30]",Leeuwen2015laboratory,p93,,Cardiovascular,,1f
PulmonaryVascularResistance,mmHg s/mL,Mean,0.14,guyton2006medical,p167,,Cardiovascular,,3f
PulmonaryVascularResistanceIndex,mmHg s/mL m^2,Mean,0.082,guyton2006medical,p167 & p232,,Cardiovascular,,3f
PulsePressure,mmHg,Mean,40,guyton2006medical,p180,SystolicArterialPressure - DiastolicArteralPressure,Cardiovascular,,1f
SystemicVascularResistance,mmHg s/mL,Mean,1,guyton2006medical,p163,,Cardiovascular,,1f
