Time(s),ArterialPressure(mmHg),BloodVolume(mL),CardiacIndex(L/min_m^2),CardiacOutput(mL/min),CentralVenousPressure(mmHg),CerebralBloodFlow(mL/min),CerebralPerfusionPressure(mmHg),DiastolicArterialPressure(mmHg),HeartEjectionFraction,HeartRate(1/min),HeartStrokeVolume(mL),IntracranialPressure(mmHg),MeanArterialPressure(mmHg),MeanArterialCarbonDioxidePartialPressure(mmHg),MeanArterialCarbonDioxidePartialPressureDelta(mmHg),MeanCentralVenousPressure(mmHg),MeanSkinFlow(mL/min),PulmonaryArterialPressure(mmHg),PulmonaryCapillariesWedgePressure(mmHg),PulmonaryDiastolicArterialPressure(mmHg),PulmonaryMeanArterialPressure(mmHg),PulmonaryMeanCapillaryFlow(mL/min),PulmonaryMeanShuntFlow(mL/min),PulmonarySystolicArterialPressure(mmHg),PulmonaryVascularResistance(mmHg_s/mL),PulmonaryVascularResistanceIndex(mmHg_s/mL_m^2),PulsePressure(mmHg),SystemicVascularResistance(mmHg_s/mL),SystolicArterialPressure(mmHg),BrainVasculature-Oxygen-PartialPressure(mmHg),Aorta-Volume(mL),Aorta-InFlow(mL/min),BrainVasculature-Volume(mL),BrainVasculature-InFlow(mL/min),BoneVasculature-Volume(mL),BoneVasculature-InFlow(mL/min),FatVasculature-Volume(mL),FatVasculature-InFlow(mL/min),KidneyVasculature-Volume(mL),KidneyVasculature-InFlow(mL/min),LargeIntestineVasculature-Volume(mL),LargeIntestineVasculature-InFlow(mL/min),LeftArmVasculature-Volume(mL),LeftHeart-Volume(mL),LeftHeart-InFlow(mL/min),LeftHeart-Pressure(mmHg),LeftKidneyVasculature-Volume(mL),LeftKidneyVasculature-InFlow(mL/min),LeftLegVasculature-Volume(mL),LeftPulmonaryArteries-Volume(mL),LeftPulmonaryArteries-InFlow(mL/min),LeftPulmonaryCapillaries-Volume(mL),LeftPulmonaryCapillaries-InFlow(mL/min),LeftPulmonaryVeins-Volume(mL),LeftPulmonaryVeins-InFlow(mL/min),LiverVasculature-Volume(mL),LiverVasculature-InFlow(mL/min),MuscleVasculature-Volume(mL),MuscleVasculature-InFlow(mL/min),MyocardiumVasculature-Volume(mL),MyocardiumVasculature-InFlow(mL/min),PulmonaryArteries-Volume(mL),PulmonaryArteries-InFlow(mL/min),PulmonaryArteries-Pressure(mmHg),PulmonaryCapillaries-Volume(mL),PulmonaryCapillaries-InFlow(mL/min),PulmonaryCapillaries-Pressure(mmHg),PulmonaryVeins-Volume(mL),PulmonaryVeins-InFlow(mL/min),PulmonaryVeins-Pressure(mmHg),RightArmVasculature-Volume(mL),RightHeart-Volume(mL),RightHeart-InFlow(mL/min),RightHeart-Pressure(mmHg),RightKidneyVasculature-Volume(mL),RightKidneyVasculature-InFlow(mL/min),RightLegVasculature-Volume(mL),RightPulmonaryArteries-Volume(mL),RightPulmonaryArteries-InFlow(mL/min),RightPulmonaryCapillaries-Volume(mL),RightPulmonaryCapillaries-InFlow(mL/min),RightPulmonaryVeins-Volume(mL),RightPulmonaryVeins-InFlow(mL/min),SkinVasculature-Volume(mL),SkinVasculature-InFlow(mL/min),SmallIntestineVasculature-Volume(mL),SmallIntestineVasculature-InFlow(mL/min),SplanchnicVasculature-Volume(mL),SplanchnicVasculature-InFlow(mL/min),SpleenVasculature-Volume(mL),SpleenVasculature-InFlow(mL/min),VenaCava-Volume(mL),VenaCava-InFlow(mL/min)
0.02,77.58,5539,2.8,5559,4.264,543.5,85.86,73.16,0.55399,73.17,75.979,8.94,94.80,40,0.008,4.3,357,15,6.154264,14,16,5292,134,18,9.135,4.641,41,0.977,113.76,34.22,290,0,67,543,391,197,280,203,79,1042,110,150,56,136.796680,1062,6.027277,40,521,84,80.5,0,59.1,2047,176.5,2642,586,1324,782,676,39,155,160,48,15,117,4284,8.8,347,5486,6.0,56,129,8352,3,40,521,84,79.3,48,57.4,2237,170.2,2844,175,287,219,387,67,97,81,113,1203,5287
0.04,76.44,5539,2.8,5559,4.262,535.1,85.86,73.16,0.55399,73.17,75.979,8.93,94.80,40,0.008,4.3,357,14,6.154264,14,16,5292,134,18,9.135,4.641,41,0.977,113.76,34.21,289,0,67,535,391,194,280,201,79,1029,110,147,56,137.146705,1050,6.044266,40,515,84,79.8,0,58.9,2012,177.2,2605,586,1317,782,665,39,152,158,46,14,116,4213,8.8,348,5412,6.0,56,132,7969,3,40,515,84,78.6,46,57.3,2201,171.0,2806,175,282,219,378,67,95,81,110,1202,5275
0.06,75.32,5539,2.8,5559,4.267,526.9,85.87,73.16,0.55399,73.17,75.979,8.93,94.80,40,0.008,4.3,357,14,6.154264,14,16,5292,134,18,9.135,4.641,41,0.977,113.76,34.20,287,0,67,527,391,190,280,198,79,1017,109,143,56,137.146705,34,23.436028,40,509,84,79.1,0,58.7,1978,178.0,2566,586,1310,782,655,39,149,157,43,14,116,4143,8.8,350,5364,6.1,56,132,43,6,40,509,84,77.8,43,57.1,2165,171.9,2798,175,278,219,370,67,92,81,107,1204,5260
0.08,74.23,5539,2.8,5559,4.272,519.0,85.88,73.16,0.55399,73.17,75.979,8.92,94.80,40,0.008,4.3,357,14,6.154264,14,16,5292,134,18,9.135,4.641,41,0.977,113.76,34.19,286,0,67,519,391,187,280,196,79,1005,109,139,56,137.146705,33,47.330895,40,502,84,78.4,0,58.5,1945,178.9,2527,586,1303,782,646,39,145,156,41,14,115,4075,8.8,352,5283,6.1,56,132,41,11,40,502,84,77.1,41,56.9,2130,172.8,2756,175,273,219,362,67,90,81,105,1206,5246
0.10,73.16,5539,2.8,5559,4.276,511.3,85.88,73.16,0.55399,73.17,75.979,8.91,94.80,40,0.008,4.3,357,14,6.154264,14,16,5292,134,18,9.135,4.641,41,0.977,113.76,34.17,285,0,67,511,391,183,280,194,79,993,109,135,56,137.146705,33,72.685704,40,497,84,78.1,1123,58.4,1935,179.7,2490,586,1296,782,637,39,142,155,2328,14,115,4052,8.8,353,5206,6.1,56,131,0,16,40,497,84,76.8,1205,56.7,2118,173.7,2716,175,269,219,354,67,87,81,102,1207,5232
0.12,76.07,5539,2.8,5559,4.281,534.9,85.89,73.16,0.55399,73.17,75.978,8.91,94.79,40,0.008,4.3,357,14,6.154143,14,16,5292,134,18,9.135,4.642,41,0.977,113.76,34.16,288,13896,67,535,391,197,280,208,79,1079,109,145,56,132.514593,32,94.179432,40,539,84,78.9,4211,58.2,1984,180.5,2457,586,1312,782,683,39,153,156,8517,14,115,4150,8.7,355,5137,6.1,56,129,0,20,40,539,84,77.5,4306,56.6,2166,174.6,2680,175,281,219,377,67,94,81,109,1209,5241
0.14,81.26,5539,2.8,5559,4.286,576.4,85.89,73.16,0.55399,73.17,75.978,8.90,94.79,40,0.008,4.3,357,15,6.154143,14,16,5292,134,18,9.135,4.642,41,0.977,113.76,34.15,294,22172,67,576,391,219,279,231,79,1169,109,163,56,125.124065,32,110.158134,40,585,84,80.4,6648,58.1,2079,181.3,2430,586,1341,782,761,39,171,159,13411,15,115,4338,8.7,357,5081,6.1,56,124,0,24,40,585,84,79.0,6763,56.5,2259,175.5,2651,175,303,219,417,67,105,81,123,1211,5273
0.16,87.32,5539,2.8,5559,4.291,624.5,85.90,73.16,0.55399,73.17,75.978,8.90,94.79,40,0.008,4.3,357,15,6.154143,14,16,5292,134,18,9.135,4.642,41,0.977,113.76,34.14,301,25645,67,624,391,245,279,257,79,1250,109,184,56,116.575652,32,120.746073,40,625,84,82.4,8378,58.1,2203,182.1,2409,586,1375,782,849,39,191,163,16895,15,115,4586,8.7,358,5037,6.2,56,118,0,27,40,625,84,81.0,8518,56.4,2383,176.4,2628,175,328,219,465,67,118,81,138,1213,5321
0.18,93.29,5539,2.8,5559,4.296,671.6,85.90,73.16,0.55399,73.17,75.978,8.90,94.79,40,0.008,4.3,357,15,6.154143,14,16,5292,134,18,9.135,4.642,41,0.977,113.76,34.14,308,25821,67,672,391,270,279,281,79,1315,109,204,56,107.968779,32,126.944621,40,658,84,84.7,9435,58.1,2344,182.9,2395,586,1409,782,934,39,212,168,19038,15,115,4868,8.7,360,5006,6.2,56,112,0,28,40,658,84,83.3,9603,56.4,2524,177.2,2611,175,353,219,511,67,132,81,153,1214,5373
0.20,98.63,5539,2.8,5559,4.301,713.6,85.89,73.16,0.55399,73.17,75.978,8.90,94.79,40,0.008,4.3,357,16,6.154143,14,16,5292,134,18,9.135,4.642,41,0.977,113.76,34.13,314,24064,67,714,391,292,280,301,79,1395,109,225,56,99.947444,33,129.987289,40,697,84,87.2,9911,58.1,2489,183.6,2386,586,1440,782,1007,39,230,173,20017,16,115,5158,8.7,362,4987,6.2,56,105,0,30,40,697,84,85.8,10107,56.5,2669,178.1,2601,175,375,219,555,67,144,81,167,1216,5424
