Time(s),AorticWallStrain,Afferent_AorticBaroreceptor,PleuralPressure,Test_FilteredCVP,Test_CentralSignal,MeanLungVolume,MuscleAutoregulation,Afferent_Baroreceptor,Afferent_Chemoreceptor,Afferent_PulmonaryStretch,Ursino_SympatheticNode,Ursino_SympatheticPeripheral,Afferent_Strain,Ursino_Parasympathetic,HypoxiaThreshold_Heart,HypoxiaThreshold_Peripheral,HypocapniaThreshold_Heart,HypocapniaThreshold_Peripheral,BaroreceptorOperatingPoint,SympatheticFatigue,HeartRateMod_Sympathetic,HeartRateMod_Vagal,ResistanceScale_Muscle,ResistanceScale_Splanchnic,ResistanceScale_Extrasplanchnic,ResistanceScale_Myocardium,Resistance_TotalPeripheral(mmHg_s_Per_mL),ElastanceScale,ComplianceScale,ComplianceModifier,VenaCava_Volume(mL),InsulinSynthesisRate(pmol/min)
0.02,0.0439278,27.3846,-4.17925,8.16795,9.9784,2.69167,0,25.3155,3.54581,12.0498,4.46143,4.02294,0.0423854,3.7265,0.450271,1.70498e-14,0.00322351,0.00322351,114.021,0,-0.230678,0.578248,1.00089,1.00034,1.00089,0.999584,0.938166,1.00475,0.999671,-0.0998273,1096.76,135
0.04,0.0439275,27.3842,-4.17833,8.16788,9.97829,2.69071,0,25.3155,3.54581,12.0477,4.4615,4.02307,0.0423855,3.72668,0.450302,1.70508e-14,0.00322875,0.00322875,114.021,0,-0.23068,0.578248,1.00089,1.00034,1.00089,0.999582,0.938166,1.00475,0.999671,-0.0998273,1098.74,135
0.06,0.0439273,27.3837,-4.17741,8.16783,9.97821,2.68976,0,25.3154,3.5458,12.0456,4.46157,4.02321,0.0423855,3.72686,0.450333,1.70519e-14,0.00323389,0.00323389,114.021,0,-0.230682,0.578249,1.00089,1.00034,1.00089,0.999581,0.938166,1.00475,0.999671,-0.0998272,1100.73,135
0.08,0.0439271,27.3833,-4.17649,8.16779,9.97816,2.68882,0,25.3154,3.54579,12.0434,4.46163,4.02334,0.0423855,3.72704,0.450364,1.70529e-14,0.00323895,0.00323895,114.021,0,-0.230685,0.57825,1.00089,1.00034,1.00089,0.999579,0.938166,1.00475,0.999671,-0.0998272,1102.7,135
0.10,0.0439268,27.3828,-4.17557,8.16776,9.97812,2.68789,0,25.3154,3.54579,12.0413,4.46168,4.02346,0.0423856,3.72722,0.450395,1.7054e-14,0.00324395,0.00324395,114.021,0,-0.230687,0.578252,1.00089,1.00034,1.00089,0.999577,0.938166,1.00475,0.999671,-0.0998271,1104.68,135
0.12,0.0439266,27.3824,-4.17465,8.16776,9.97811,2.68697,0,25.3154,3.54578,12.0391,4.46173,4.02359,0.0423856,3.72741,0.450426,1.7055e-14,0.00324893,0.00324893,114.021,0,-0.230689,0.578254,1.00089,1.00034,1.00089,0.999575,0.938166,1.00475,0.999671,-0.0998271,1106.64,135
0.14,0.0439263,27.382,-4.17374,8.16776,9.97812,2.68606,0,25.3154,3.54577,12.0369,4.46177,4.02371,0.0423856,3.7276,0.450457,1.7056e-14,0.00325392,0.00325392,114.021,0,-0.230691,0.578256,1.0009,1.00035,1.0009,0.999573,0.938166,1.00475,0.999671,-0.099827,1108.61,135
0.16,0.0439261,27.3815,-4.17283,8.16779,9.97816,2.68516,0,25.3154,3.54577,12.0346,4.46181,4.02383,0.0423856,3.72778,0.450488,1.70571e-14,0.00325891,0.00325891,114.021,0,-0.230694,0.578258,1.0009,1.00035,1.0009,0.99957,0.938166,1.00475,0.999671,-0.099827,1110.56,135
0.18,0.0439258,27.3811,-4.17192,8.16782,9.97821,2.68427,0,25.3154,3.54576,12.0324,4.46185,4.02394,0.0423857,3.72798,0.450519,1.70581e-14,0.0032639,0.0032639,114.021,0,-0.230696,0.578261,1.0009,1.00035,1.0009,0.999568,0.938166,1.00476,0.999671,-0.099827,1111.54,135
0.20,0.0439256,27.3806,-4.17101,8.16787,9.97827,2.68338,0,25.3154,3.54575,12.0302,4.46188,4.02405,0.0423857,3.72817,0.450549,1.70591e-14,0.00326889,0.00326889,114.021,0,-0.230698,0.578265,1.0009,1.00035,1.0009,0.999566,0.938166,1.00476,0.999671,-0.0998269,1110.27,135
