Output,Units,Algorithm,Reference Values,References,Reference Page,Notes,Internal Notes,Reading,Table,ResultsFile,SignificantDigits
AchievedExerciseLevel*,,,,,,"Under resting state, this is essentially NaN",,,Energy,,
CoreTemperature,degC,Mean,37,herman2007physics,,,,,Energy,,1f
CreatinineProductionRate*,umol/s,Mean,0.176,esparanza2012creatinine,,,Converted from 1.2 mg/min,,Energy,,3f
ExerciseMeanArterialPressureDelta*,,,,,,Used in Barorecptors,,,Energy,,
FatigueLevel*,,,,,,"Under resting state, this is essentially zero",,,Energy,,
KetoneProductionRate,umol/min,Mean,308,garber1974ketone,,,,,Energy,,1f
LactateProductionRate,mol/day,Mean,1.3,phypers2006lactate,,,,,Energy,,1f
SkinTemperature,degC,Mean,33,herman2007physics,,,,,Energy,,1f
SweatRate*,,,,,,This needs to be validated,,,Energy,,
TotalMetabolicRate,kcal/day,Mean,1790,roza1984metabolic,,,For 77 kg male,,Energy,,0f
TotalWorkRateLevel*,,,,,,,,,Energy,,
SodiumLostToSweat*,,,,,,,,,Energy,,
PotassiumLostToSweat*,,,,,,,,,Energy,,
ChlorideLostToSweat*,,,,,,,,,Energy,,
