Time(s),CoreTemperature(degC),CreatinineProductionRate(umol/s),KetoneProductionRate(umol/min),LactateProductionRate(mol/day),SkinTemperature(degC),SweatRate(g/s),TotalMetabolicRate(kcal/day)
0.02,37.0,-1.$,100,0.52,33.1,0,1737
0.04,37.0,-1.$,100,0.52,33.1,0,1737
0.06,37.0,-1.$,100,0.52,33.1,0,1737
0.08,37.0,-1.$,100,0.52,33.1,0,1737
0.10,37.0,-1.$,100,0.52,33.1,0,1737
0.12,37.0,-1.$,100,0.53,33.1,0,1737
0.14,37.0,-1.$,100,0.55,33.1,0,1737
0.16,37.0,-1.$,100,0.58,33.1,0,1737
0.18,37.0,-1.$,100,0.60,33.1,0,1737
0.20,37.0,-1.$,100,0.61,33.1,0,1737
0.22,37.0,-1.$,100,0.62,33.1,0,1737
0.24,37.0,-1.$,100,0.62,33.1,0,1737
0.26,37.0,-1.$,100,0.63,33.1,0,1737
0.28,37.0,-1.$,100,0.63,33.1,0,1737
0.30,37.0,-1.$,100,0.63,33.1,0,1737
0.32,37.0,-1.$,100,0.63,33.1,0,1737
0.34,37.0,-1.$,100,0.63,33.1,0,1737
0.36,37.0,-1.$,100,0.63,33.1,0,1737
0.38,37.0,-1.$,100,0.63,33.1,0,1737
0.40,37.0,-1.$,100,0.63,33.1,0,1737
0.42,37.0,-1.$,100,0.62,33.1,0,1737
0.44,37.0,-1.$,100,0.62,33.1,0,1737
0.46,37.0,-1.$,100,0.62,33.1,0,1737
0.48,37.0,-1.$,100,0.61,33.1,0,1737
0.50,37.0,-1.$,100,0.61,33.1,0,1737
0.52,37.0,-1.$,100,0.61,33.1,0,1737
0.54,37.0,-1.$,100,0.60,33.1,0,1737
0.56,37.0,-1.$,100,0.60,33.1,0,1737
0.58,37.0,-1.$,100,0.59,33.1,0,1737
0.60,37.0,-1.$,100,0.59,33.1,0,1737
0.62,37.0,-1.$,100,0.58,33.1,0,1737
0.64,37.0,-1.$,100,0.58,33.1,0,1737
0.66,37.0,-1.$,100,0.57,33.1,0,1737
0.68,37.0,-1.$,100,0.57,33.1,0,1737
0.70,37.0,-1.$,100,0.56,33.1,0,1737
0.72,37.0,-1.$,100,0.55,33.1,0,1737
0.74,37.0,-1.$,100,0.55,33.1,0,1737
0.76,37.0,-1.$,100,0.54,33.1,0,1737
0.78,37.0,-1.$,100,0.54,33.1,0,1737
0.80,37.0,-1.$,100,0.53,33.1,0,1737
0.82,37.0,-1.$,100,0.53,33.1,0,1737
0.84,37.0,-1.$,100,0.52,33.1,0,1737
0.86,37.0,-1.$,100,0.52,33.1,0,1737
