,,,,,,,,,,,,,,,,,
Data Type,SubstanceCompound,SubstanceCompound,SubstanceCompound,SubstanceCompound,SubstanceCompound,SubstanceCompound,SubstanceCompound,SubstanceCompound,SubstanceCompound,SubstanceCompound,SubstanceCompound,SubstanceCompound,SubstanceCompound,SubstanceCompound,SubstanceCompound,SubstanceCompound,SubstanceCompound
Compound Name,Albuminar_25,Albuminex_4PCT,Albuminex_5PCT,PlasmaLyteA,Saline,SalineSlowDrip,RingersLactate,PiperacillinTazobactam,Blood_ABNegative,Blood_ABPositive,Blood_ANegative,Blood_APositive,Blood_BNegative,Blood_BPositive,Blood_ONegative,Blood_OPositive,Plasma
Classification,,,,,,,,,WholeBlood,WholeBlood,WholeBlood,WholeBlood,WholeBlood,WholeBlood,WholeBlood,WholeBlood,
BloodRHFactor,,,,,,,,,false,true,false,true,false,true,false,true,
,Substance,Substance,Substance,Substance,Substance,Substance,,Substance,Substance,Substance,Substance,Substance,Substance,Substance,Substance,Substance,Substance
Component Name,Albumin,Albumin,Albumin,Sodium,Sodium,Sodium,Sodium,Piperacillin,Hemoglobin,Hemoglobin,Hemoglobin,Hemoglobin,Hemoglobin,Hemoglobin,Hemoglobin,Hemoglobin,Sodium
Concentration,25.0 g/dL,4.0 g/dL,5.0 g/dL,3220 mg/L,0.354 g/dL,0.354 g/dL,0.299 g/dL,0.2 g/mL,3.7 g/dL,3.7 g/dL,3.7 g/dL,3.7 g/dL,3.7 g/dL,3.7 g/dL,3.7 g/dL,3.7 g/dL,0.3335 g/dL
,Substance,Substance,Substance,Substance,Substance,Substance,,Substance,Substance,Substance,Substance,Substance,Substance,Substance,Substance,Substance,Substance
Component Name,Sodium,Sodium,Sodium,Potassium,Chloride,Chloride,Chloride,Tazobactam,Oxyhemoglobin,Oxyhemoglobin,Oxyhemoglobin,Oxyhemoglobin,Oxyhemoglobin,Oxyhemoglobin,Oxyhemoglobin,Oxyhemoglobin,Albumin
Concentration,0.32 g/dL,0.322 g/dL,0.322 g/dL,195 mg/L,0.546 g/dL,0.546 g/dL,0.386 g/dL,0.025 g/mL,11.1 g/dL,11.1 g/dL,11.1 g/dL,11.1 g/dL,11.1 g/dL,11.1 g/dL,11.1 g/dL,11.1 g/dL,4.5 g/dL
,,Substance,Substance,Substance,Substance,Substance,,Substance,Substance,Substance,Substance,Substance,Substance,Substance,Substance,Substance,Substance
Component Name,,Chloride,Chloride,Magnesium,Oxygen,Oxygen,Lactate,Sodium,Oxygen,Oxygen,Oxygen,Oxygen,Oxygen,Oxygen,Oxygen,Oxygen,Urea
Concentration,,0.454 g/dL,0.454 g/dL,36 mg/L,0.0314 g/L,0.0314 g/L,0.249 g/dL,0.0268 g/mL,0.0314 g/L,0.0314 g/L,0.0314 g/L,0.0314 g/L,0.0314 g/L,0.0314 g/L,0.0314 g/L,0.0314 g/L,0.0257 g/dL
,,,,Substance,Substance,Substance,,Substance,Substance,Substance,Substance,Substance,Substance,Substance,Substance,Substance,Substance
Component Name,,,,Chloride,CarbonDioxide,CarbonDioxide,Potassium,,CarbonDioxide,CarbonDioxide,CarbonDioxide,CarbonDioxide,CarbonDioxide,CarbonDioxide,CarbonDioxide,CarbonDioxide,Glucose
Concentration,,,,3430 mg/L,0.715 g/L,0.715 g/L,0.0156 g/dL,,0.715 g/L,0.715 g/L,0.715 g/L,0.715 g/L,0.715 g/L,0.715 g/L,0.715 g/L,0.715 g/L,0.08 g/dL
