FiltrationFraction,,0.2,guyton2006medical,GFR/RenalPlasmaFlow,Renal
GlomerularFiltrationRate,L/day,180,guyton2006medical,,Renal
RenalBloodFlow,mL/min,"[1064, 1200] ","valtin1995renal,
valentin2002icrp",,Renal
RenalPlasmaFlow,mL/min,660,valtin1995renal,Dependent on Hematocrit,Renal
RenalVascularResistance,mmHg min/mL,0.08,guyton2006medical,,Renal
UrineOsmolality,mOsm/kg,"[50,1200]",valtin1995renal,,Renal
UrineOsmolarity,mOsm/L,"[50,1200]",valtin1995renal,,Renal
UrineProductionRate,L/day,1.5,guyton2006medical,,Renal
UrineSpecificGravity,,"[1.01,1.022],
[1.003,1.040]","valtin1995renal,
walker1990clinical",,Renal
UrineUreaNitrogenConcentration,g/L,"[5,10]",valtin1995renal,,Renal
LeftAfferentArterioleResistance,mmHg min/mL,0.0417,guyton2006medical,(85mmHg - 60mmHg) / (RenalBloodFlow / 2),Renal
LeftBowmansCapsulesHydrostaticPressure,mmHg,18,guyton2006medical,,Renal
LeftBowmansCapsulesOsmoticPressure,mmHg,0,guyton2006medical,,Renal
LeftEfferentArterioleResistance,mmHg min/mL,0.0763,guyton2006medical,(59mmHg - 18mmHg) / ((RenalBloodFlow - GFR) / 2),Renal
LeftFiltrationFraction,,0.2,guyton2006medical,GFR/RenalPlasmaFlow,Renal
LeftGlomerularCapillariesHydrostaticPressure,mmHg,60,guyton2006medical,,Renal
LeftGlomerularCapillariesOsmoticPressure,mmHg,-32,guyton2006medical,,Renal
LeftGlomerularFiltrationCoefficient,mL/min mmHg,6.3,guyton2006medical,Rate/NetPressure,Renal
LeftGlomerularFiltrationRate,L/day,90,guyton2006medical,Total GFR / 2,Renal
LeftGlomerularFiltrationSurfaceArea,cm^2,"[7250,23250]",[(SurfaceArea/100g<sub>RenalTissue</sub>)*KidneyMass<sub>g</sub>],5000-15000 cm^2 per 100 g renal tissue @cite valtin1995renal <br> mass of 2 kidneys in adult male = 310 g / 2 @cite valentin2002icrp,Renal
LeftNetFiltrationPressure,mmHg,10,guyton2006medical,,Renal
LeftNetReabsorptionPressure,mmHg,10,guyton2006medical,,Renal
LeftPeritubularCapillariesOsmoticPressure,mmHg,-32,guyton2006medical,,Renal
LeftReabsorptionFiltrationCoefficient,mL/min mmHg,6.2,guyton2006medical,Rate/NetPressure,Renal
LeftReabsorptionRate,mL/min,62,guyton2006medical,TotalReabsorptionRate/2,Renal
LeftTubularOsmoticPressure,mmHg,-15,guyton2006medical,,Renal
RightAfferentArterioleResistance,mmHg min/mL,0.0417,guyton2006medical,(85mmHg - 60mmHg) / (RenalBloodFlow / 2),Renal
RightBowmansCapsulesHydrostaticPressure,mmHg,18,guyton2006medical,,Renal
RightBowmansCapsulesOsmoticPressure,mmHg,0,guyton2006medical,,Renal
RightEfferentArterioleResistance,mmHg min/mL,0.0763,guyton2006medical,(59mmHg - 18mmHg) / ((RenalBloodFlow - GFR) / 2),Renal
RightFiltrationFraction,,0.2,guyton2006medical,GFR/RenalPlasmaFlow,Renal
RightGlomerularCapillariesHydrostaticPressure,mmHg,60,guyton2006medical,,Renal
RightGlomerularCapillariesOsmoticPressure,mmHg,-32,guyton2006medical,,Renal
RightGlomerularFiltrationCoefficient,mL/min mmHg,6.25,guyton2006medical,Rate/NetPressure,Renal
RightGlomerularFiltrationRate,L/day,90,guyton2006medical,Total GFR / 2,Renal
RightGlomerularFiltrationSurfaceArea,cm^2,"[7250,23250]",[(SurfaceArea/100g<sub>RenalTissue</sub>)*KidneyMass<sub>g</sub>],5000-15000 cm^2 per 100 g renal tissue @cite valtin1995renal <br> mass of 2 kidneys in adult male = 310 g / 2 @cite valentin2002icrp,Renal
RightNetFiltrationPressure,mmHg,10,guyton2006medical,,Renal
RightNetReabsorptionPressure,mmHg,10,guyton2006medical,,Renal
RightPeritubularCapillariesOsmoticPressure,mmHg,-32,guyton2006medical,,Renal
RightReabsorptionFiltrationCoefficient,mL/min mmHg,6.2,guyton2006medical,Rate/NetPressure,Renal
RightReabsorptionRate,mL/min,62,guyton2006medical,TotalReabsorptionRate/2,Renal
RightTubularOsmoticPressure,mmHg,-15,guyton2006medical,,Renal
LeftKidneyVasculature-Volume,mL,"[31.7,37.9]",effros1967vascular,"28 is the difference between intravascular fluid volume and total extracellular fluid volume, reported in the ICRP",RenalCompartments
LeftRenalArtery-Volume,mL,"[5.3,6.3]",effros1967vascular,TotalKidney = 34.8 <br> TotalKidneyLargeVasculature = TotalKidney/2 <br> LargeVasculature = TotalKidneyLargeVasculature/3 ,RenalCompartments
LeftRenalVein-Volume,mL,"[5.3,6.3]",effros1967vascular,TotalKidney = 34.8 <br> TotalKidneyLargeVasculature = TotalKidney/2 <br> LargeVasculature = TotalKidneyLargeVasculature/3 ,RenalCompartments
