Time(s),VenaCava-Fentanyl-Concentration(ug/mL),Fentanyl-PlasmaConcentration(ug/L),Fentanyl-SystemicMassCleared(ug),Fentanyl-MassInBody(ug),Fentanyl-LeftKidneyTissue-PartitionCoefficient,Fentanyl-RightKidneyTissue-PartitionCoefficient,Fentanyl-BrainTissue-PartitionCoefficient,Fentanyl-RightLungTissue-PartitionCoefficient,Fentanyl-LeftLungTissue-PartitionCoefficient,Fentanyl-LiverTissue-PartitionCoefficient,Fentanyl-BoneTissue-PartitionCoefficient,Fentanyl-FatTissue-PartitionCoefficient,Fentanyl-SkinTissue-PartitionCoefficient,Fentanyl-MuscleTissue-PartitionCoefficient,Fentanyl-SpleenTissue-PartitionCoefficient,Fentanyl-GutTissue-PartitionCoefficient,Fentanyl-MyocardiumTissue-PartitionCoefficient,LiverTissueIntracellular-Fentanyl-MassCleared(ug),LeftKidneyTissueIntracellular-Fentanyl-MassCleared(ug),RightKidneyTissueIntracellular-Fentanyl-MassCleared(ug),LeftKidneyTissueIntracellular-Fentanyl-MassExcreted(ug),RightKidneyTissueIntracellular-Fentanyl-MassExcreted(ug),LiverTissueIntracellular-Fentanyl-MassExcreted(ug)
0.02,0.004748765,2.000401,0.00,5.85,14.6190,14.6190,38.2420,3.5497,3.5497,23.9967,41.4571,65.3473,17.7920,14.9660,14.8424,30.1191,9.5634,0,0,0,0,0,0
1.02,0.230824485,101.228957,2.20,296.15,14.6254,14.6254,38.2588,3.5511,3.5511,24.0072,41.4753,65.3762,17.7998,14.9726,14.8488,30.1323,9.5675,0,0,0,0,0,0
2.02,0.432658904,196.786939,8.32,576.68,14.6277,14.6277,38.2648,3.5516,3.5516,24.0110,41.4819,65.3865,17.8025,14.9749,14.8511,30.1370,9.5690,0,0,0,0,0,0
3.02,0.396031669,193.221707,15.81,569.19,14.6229,14.6229,38.2521,3.5505,3.5505,24.0030,41.4681,65.3647,17.7967,14.9700,14.8462,30.1271,9.5659,0,0,0,0,0,0
4.02,0.362508466,189.223466,22.67,562.33,14.6222,14.6222,38.2504,3.5504,3.5504,24.0020,41.4662,65.3618,17.7959,14.9693,14.8456,30.1257,9.5655,0,0,0,0,0,0
5.02,0.331860120,184.513019,28.95,556.05,14.6280,14.6280,38.2658,3.5517,3.5517,24.0116,41.4829,65.3881,17.8029,14.9753,14.8515,30.1378,9.5692,0,0,0,0,0,0
6.02,0.303704122,178.645684,34.70,550.30,14.6284,14.6284,38.2667,3.5518,3.5518,24.0121,41.4838,65.3896,17.8033,14.9756,14.8518,30.1385,9.5694,0,0,0,0,0,0
7.02,0.278020063,173.993807,39.96,545.04,14.6247,14.6247,38.2570,3.5510,3.5510,24.0061,41.4734,65.3731,17.7989,14.9719,14.8481,30.1309,9.5671,0,0,0,0,0,0
8.02,0.254654761,170.012376,44.78,540.22,14.6275,14.6275,38.2644,3.5516,3.5516,24.0107,41.4814,65.3857,17.8023,14.9747,14.8509,30.1367,9.5689,0,0,0,0,0,0
9.02,0.233396474,166.283112,49.19,535.81,14.6329,14.6329,38.2786,3.5528,3.5528,24.0196,41.4967,65.4100,17.8088,14.9803,14.8563,30.1478,9.5723,0,0,0,0,0,0
10.02,0.214141324,162.726619,53.24,531.76,14.6341,14.6341,38.2819,3.5531,3.5531,24.0217,41.5003,65.4156,17.8103,14.9816,14.8576,30.1504,9.5731,0,0,0,0,0,0
11.02,0.196683061,158.732700,56.95,528.05,14.6292,14.6292,38.2688,3.5520,3.5520,24.0135,41.4862,65.3933,17.8043,14.9765,14.8526,30.1402,9.5700,0,0,0,0,0,0
